#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      4.40e+00    6.94e+00      2.85e-02    7.12e-02      1.34e-01    1.99e-01    6.0e-04
   6000      4.04e+00    3.44e+00      5.09e-02    3.36e-02      1.10e-01    9.99e-02    6.0e-04
   6100      1.19e+01    7.44e+00      2.29e-01    1.40e-01      2.33e-01    1.52e-01    6.0e-04
   6200      1.91e+01    1.48e+01      4.61e-01    3.45e-01      1.13e-01    1.51e-01    6.0e-04
   6300      8.23e+00    5.06e+00      1.17e-01    3.02e-02      2.12e-01    1.55e-01    6.0e-04
   6400      7.89e+00    6.17e+00      1.76e-01    1.15e-01      1.05e-01    1.27e-01    6.0e-04
   6500      7.96e+00    6.08e+00      1.72e-01    1.25e-02      1.21e-01    1.91e-01    6.0e-04
   6600      1.41e+01    4.37e+00      2.91e-01    7.52e-02      2.45e-01    9.86e-02    6.0e-04
   6700      5.16e+00    4.68e+00      1.21e-02    3.68e-02      1.62e-01    1.40e-01    6.0e-04
   6800      5.12e+00    4.98e+00      6.40e-02    5.96e-02      1.40e-01    1.38e-01    6.0e-04
   6900      6.52e+00    8.49e+00      4.22e-02    1.89e-01      1.99e-01    1.14e-01    6.0e-04
   7000      1.20e+01    5.35e+00      2.60e-01    1.12e-01      1.80e-01    8.97e-02    6.0e-04
   7100      9.35e+00    5.72e+00      2.15e-01    4.59e-03      1.07e-01    1.81e-01    6.0e-04
   7200      5.77e+00    4.57e+00      7.37e-02    8.38e-02      1.56e-01    9.61e-02    6.0e-04
   7300      1.25e+01    8.90e+00      2.91e-01    1.59e-01      1.27e-01    1.94e-01    6.0e-04
   7400      1.32e+01    5.69e+00      2.87e-01    1.17e-01      1.97e-01    9.96e-02    6.0e-04
   7500      6.20e+00    3.78e+00      1.12e-01    4.14e-02      1.33e-01    1.07e-01    6.0e-04
   7600      7.30e+00    6.52e+00      1.37e-01    1.15e-01      1.49e-01    1.43e-01    6.0e-04
   7700      4.29e+00    3.17e+00      4.99e-02    1.30e-02      1.20e-01    9.90e-02    6.0e-04
   7800      9.07e+00    5.64e+00      2.08e-01    3.42e-02      1.04e-01    1.73e-01    6.0e-04
   7900      1.17e+01    1.08e+01      2.45e-01    2.27e-01      1.94e-01    1.79e-01    6.0e-04
   8000      6.20e+00    8.02e+00      4.73e-02    1.74e-01      1.86e-01    1.20e-01    6.0e-04
   8100      7.89e+00    5.36e+00      1.81e-01    2.34e-02      9.06e-02    1.67e-01    6.0e-04
   8200      3.19e+00    5.06e+00      1.28e-02    6.65e-02      9.96e-02    1.35e-01    6.0e-04
   8300      9.12e+00    4.14e+00      1.73e-01    4.61e-02      1.84e-01    1.17e-01    6.0e-04
   8400      6.23e+00    9.01e+00      1.14e-01    2.08e-01      1.31e-01    9.74e-02    6.0e-04
   8500      4.26e+00    2.62e+00      6.64e-02    3.52e-03      1.04e-01    8.28e-02    6.0e-04
   8600      5.75e+00    8.18e+00      1.20e-01    1.05e-01      9.69e-02    2.21e-01    6.0e-04
   8700      9.73e+00    6.16e+00      2.28e-01    1.47e-02      9.18e-02    1.94e-01    6.0e-04
   8800      6.69e+00    7.23e+00      1.45e-01    1.63e-01      1.00e-01    9.07e-02    6.0e-04
   8900      3.37e+00    3.78e+00      1.77e-02    1.04e-02      1.04e-01    1.19e-01    6.0e-04
   9000      5.98e+00    8.10e+00      1.15e-02    1.81e-01      1.89e-01    1.08e-01    6.0e-04
   9100      6.07e+00    5.59e+00      4.87e-02    1.06e-01      1.81e-01    1.13e-01    6.0e-04
   9200      6.60e+00    4.91e+00      1.19e-01    8.20e-02      1.42e-01    1.14e-01    6.0e-04
   9300      1.07e+01    3.01e+00      2.18e-01    3.40e-03      1.91e-01    9.51e-02    6.0e-04
   9400      9.09e+00    5.97e+00      1.82e-01    1.10e-01      1.67e-01    1.25e-01    6.0e-04
   9500      4.97e+00    7.25e+00      8.48e-02    1.48e-01      1.13e-01    1.28e-01    6.0e-04
   9600      6.90e+00    8.39e+00      1.14e-01    1.75e-01      1.61e-01    1.41e-01    6.0e-04
   9700      5.09e+00    3.54e+00      5.32e-02    1.18e-02      1.46e-01    1.11e-01    6.0e-04
   9800      6.82e+00    6.76e+00      1.56e-01    1.55e-01      7.84e-02    7.76e-02    6.0e-04
   9900      6.39e+00    6.15e+00      4.36e-02    9.50e-02      1.94e-01    1.51e-01    6.0e-04
  10000      5.43e+00    6.33e+00      3.28e-02    1.09e-01      1.63e-01    9.62e-02    3.6e-04
  10100      5.48e+00    5.80e+00      6.65e-02    7.63e-03      1.36e-01    1.83e-01    3.6e-04
  10200      6.84e+00    5.79e+00      2.89e-02    6.24e-03      2.11e-01    1.83e-01    3.6e-04
  10300      7.49e+00    5.33e+00      1.31e-01    1.98e-02      1.07e-01    1.66e-01    3.6e-04
  10400      8.61e+00    8.26e+00      1.25e-01    8.78e-02      1.84e-01    2.20e-01    3.6e-04
  10500      9.33e+00    4.84e+00      1.75e-01    9.59e-03      8.83e-02    1.52e-01    3.6e-04
  10600      5.13e+00    3.65e+00      6.14e-02    2.50e-02      1.29e-01    1.08e-01    3.6e-04
  10700      3.27e+00    3.57e+00      3.27e-02    4.31e-02      8.89e-02    8.92e-02    3.6e-04
  10800      4.99e+00    6.21e+00      5.87e-02    1.01e-01      1.26e-01    1.10e-01    3.6e-04
  10900      9.17e+00    1.43e+01      1.55e-01    2.51e-01      1.48e-01    2.06e-01    3.6e-04
  11000      3.92e+00    8.21e+00      4.89e-02    1.33e-01      9.56e-02    1.48e-01    3.6e-04
  11100      4.79e+00    6.88e+00      5.40e-02    7.30e-02      1.24e-01    1.83e-01    3.6e-04
  11200      9.88e+00    6.63e+00      1.86e-01    1.09e-01      8.78e-02    1.15e-01    3.6e-04
  11300      4.55e+00    8.14e+00      4.68e-02    9.59e-02      1.23e-01    2.06e-01    3.6e-04
  11400      5.08e+00    4.41e+00      4.12e-02    4.36e-02      1.46e-01    1.20e-01    3.6e-04
  11500      8.21e+00    1.04e+01      1.21e-01    1.63e-01      1.71e-01    1.97e-01    3.6e-04
  11600      1.08e+01    9.73e+00      1.95e-01    1.65e-01      1.31e-01    1.54e-01    3.6e-04
  11700      5.46e+00    5.20e+00      5.35e-02    3.42e-02      1.50e-01    1.55e-01    3.6e-04
  11800      8.81e+00    9.36e+00      1.28e-01    1.44e-01      1.87e-01    1.84e-01    3.6e-04
  11900      4.26e+00    3.96e+00      5.62e-02    2.03e-02      9.99e-02    1.21e-01    3.6e-04
  12000      6.88e+00    5.32e+00      1.10e-01    1.68e-03      1.26e-01    1.68e-01    3.6e-04
  12100      8.67e+00    3.41e+00      1.33e-01    3.13e-02      1.71e-01    9.54e-02    3.6e-04
  12200      5.79e+00    5.27e+00      4.53e-02    1.47e-02      1.68e-01    1.65e-01    3.6e-04
  12300      6.61e+00    6.52e+00      9.45e-02    4.95e-02      1.43e-01    1.90e-01    3.6e-04
  12400      1.13e+01    6.26e+00      2.10e-01    2.43e-02      1.20e-01    1.94e-01    3.6e-04
  12500      3.06e+00    7.95e+00      1.17e-02    1.28e-01      9.49e-02    1.44e-01    3.6e-04
  12600      1.57e+01    8.28e+00      3.02e-01    1.23e-01      1.01e-01    1.71e-01    3.6e-04
  12700      6.95e+00    1.21e+01      9.50e-02    2.28e-01      1.58e-01    1.06e-01    3.6e-04
  12800      1.30e+01    8.24e+00      2.48e-01    1.38e-01      9.97e-02    1.37e-01    3.6e-04
  12900      1.06e+01    3.23e+00      1.70e-01    3.35e-02      1.91e-01    8.67e-02    3.6e-04
  13000      1.16e+01    1.44e+01      2.02e-01    2.50e-01      1.72e-01    2.12e-01    3.6e-04
  13100      1.14e+01    7.47e+00      1.90e-01    1.20e-01      1.88e-01    1.36e-01    3.6e-04
  13200      7.87e+00    7.98e+00      1.41e-01    1.44e-01      1.02e-01    9.78e-02    3.6e-04
  13300      6.46e+00    5.94e+00      8.91e-02    4.36e-02      1.45e-01    1.74e-01    3.6e-04
  13400      9.81e+00    9.08e+00      1.62e-01    1.51e-01      1.68e-01    1.52e-01    3.6e-04
  13500      6.32e+00    4.03e+00      7.70e-02    1.96e-02      1.57e-01    1.24e-01    3.6e-04
  13600      7.34e+00    1.00e+01      1.08e-01    1.62e-01      1.53e-01    1.82e-01    3.6e-04
  13700      7.61e+00    5.43e+00      1.20e-01    7.50e-02      1.44e-01    1.22e-01    3.6e-04
  13800      7.44e+00    4.73e+00      1.30e-01    2.01e-02      1.07e-01    1.46e-01    3.6e-04
  13900      1.49e+01    1.18e+01      2.74e-01    2.17e-01      1.64e-01    1.32e-01    3.6e-04
  14000      3.82e+00    3.60e+00      1.93e-02    5.36e-03      1.17e-01    1.14e-01    3.6e-04
  14100      5.43e+00    4.79e+00      8.81e-02    6.37e-03      9.67e-02    1.51e-01    3.6e-04
  14200      1.14e+01    4.91e+00      1.83e-01    5.26e-02      2.07e-01    1.30e-01    3.6e-04
  14300      4.34e+00    7.20e+00      4.26e-02    8.95e-02      1.19e-01    1.76e-01    3.6e-04
  14400      8.88e+00    3.74e+00      1.29e-01    1.93e-02      1.88e-01    1.14e-01    3.6e-04
  14500      1.11e+01    8.91e+00      1.93e-01    1.55e-01      1.63e-01    1.31e-01    3.6e-04
  14600      8.18e+00    3.79e+00      1.10e-01    2.59e-03      1.88e-01    1.20e-01    3.6e-04
  14700      4.89e+00    4.46e+00      4.22e-02    6.51e-02      1.39e-01    9.43e-02    3.6e-04
  14800      1.49e+01    1.44e+01      2.65e-01    2.56e-01      1.98e-01    1.92e-01    3.6e-04
  14900      1.69e+01    9.13e+00      3.02e-01    1.56e-01      2.25e-01    1.42e-01    3.6e-04
  15000      3.57e+00    3.51e+00      1.09e-02    3.06e-02      1.11e-01    9.66e-02    2.1e-04
  15100      9.95e+00    4.51e+00      1.35e-01    2.52e-02      2.03e-01    1.35e-01    2.1e-04
  15200      6.35e+00    9.19e+00      6.65e-02    1.16e-01      1.62e-01    2.05e-01    2.1e-04
  15300      4.06e+00    8.87e+00      5.21e-02    1.27e-01      8.89e-02    1.66e-01    2.1e-04
  15400      1.33e+01    6.01e+00      2.32e-01    1.11e-02      8.85e-02    1.89e-01    2.1e-04
  15500      4.75e+00    5.05e+00      7.12e-03    3.37e-02      1.50e-01    1.48e-01    2.1e-04
  15600      4.35e+00    4.27e+00      2.90e-02    7.88e-03      1.28e-01    1.34e-01    2.1e-04
  15700      2.98e+00    3.78e+00      7.06e-03    2.72e-02      9.35e-02    1.09e-01    2.1e-04
  15800      3.09e+00    3.94e+00      2.39e-02    4.59e-02      8.81e-02    9.41e-02    2.1e-04
  15900      2.77e+00    9.97e+00      5.97e-03    1.55e-01      8.71e-02    1.53e-01    2.1e-04
  16000      6.87e+00    9.65e+00      1.12e-01    1.34e-01      8.75e-02    1.92e-01    2.1e-04
  16100      4.22e+00    4.84e+00      2.36e-02    5.59e-02      1.27e-01    1.17e-01    2.1e-04
  16200      1.09e+01    3.70e+00      1.63e-01    4.10e-02      1.85e-01    9.16e-02    2.1e-04
  16300      3.72e+00    4.77e+00      4.13e-02    4.59e-02      9.22e-02    1.27e-01    2.1e-04
  16400      7.32e+00    5.22e+00      1.07e-01    6.46e-02      1.32e-01    1.19e-01    2.1e-04
  16500      8.93e+00    4.17e+00      1.32e-01    5.59e-02      1.57e-01    8.68e-02    2.1e-04
  16600      6.37e+00    6.78e+00      8.74e-02    1.03e-01      1.28e-01    1.11e-01    2.1e-04
  16700      5.84e+00    5.26e+00      8.36e-03    1.04e-02      1.84e-01    1.65e-01    2.1e-04
  16800      9.05e+00    5.84e+00      1.55e-01    5.43e-02      7.82e-02    1.58e-01    2.1e-04
  16900      1.44e+01    9.35e+00      2.50e-01    1.48e-01      9.52e-02    1.36e-01    2.1e-04
  17000      5.98e+00    4.56e+00      4.95e-02    4.39e-02      1.67e-01    1.21e-01    2.1e-04
  17100      7.25e+00    6.99e+00      8.19e-02    1.13e-01      1.77e-01    9.36e-02    2.1e-04
  17200      1.00e+01    4.44e+00      1.72e-01    2.72e-02      8.62e-02    1.32e-01    2.1e-04
  17300      4.68e+00    5.15e+00      6.74e-02    5.43e-02      8.67e-02    1.31e-01    2.1e-04
  17400      5.07e+00    4.10e+00      3.82e-02    2.74e-03      1.45e-01    1.30e-01    2.1e-04
  17500      6.35e+00    5.14e+00      5.88e-02    3.39e-02      1.72e-01    1.51e-01    2.1e-04
  17600      1.55e+01    3.08e+00      2.53e-01    2.20e-02      1.95e-01    8.94e-02    2.1e-04
  17700      9.91e+00    1.32e+01      1.60e-01    2.19e-01      1.32e-01    1.54e-01    2.1e-04
  17800      6.42e+00    9.77e+00      3.09e-02    1.65e-01      1.96e-01    9.66e-02    2.1e-04
  17900      1.02e+01    6.62e+00      1.64e-01    9.89e-02      1.42e-01    1.14e-01    2.1e-04
  18000      9.48e+00    4.42e+00      1.62e-01    2.35e-02      8.67e-02    1.34e-01    2.1e-04
  18100      3.52e+00    4.02e+00      2.60e-02    4.87e-02      1.01e-01    9.32e-02    2.1e-04
  18200      1.04e+01    4.98e+00      1.63e-01    6.43e-02      1.53e-01    1.09e-01    2.1e-04
  18300      5.35e+00    6.97e+00      6.53e-02    1.02e-01      1.23e-01    1.25e-01    2.1e-04
  18400      1.14e+01    8.11e+00      1.69e-01    1.08e-01      2.02e-01    1.70e-01    2.1e-04
  18500      7.35e+00    5.07e+00      1.13e-01    3.03e-02      1.17e-01    1.51e-01    2.1e-04
  18600      5.39e+00    5.33e+00      4.99e-02    2.07e-02      1.45e-01    1.65e-01    2.1e-04
  18700      6.24e+00    7.29e+00      9.40e-02    1.16e-01      1.05e-01    1.02e-01    2.1e-04
  18800      6.77e+00    1.41e+01      5.02e-02    2.44e-01      1.95e-01    1.05e-01    2.1e-04
  18900      5.40e+00    6.42e+00      7.18e-02    9.34e-02      1.13e-01    1.17e-01    2.1e-04
  19000      4.60e+00    3.82e+00      6.41e-02    2.33e-02      9.02e-02    1.14e-01    2.1e-04
  19100      4.94e+00    4.97e+00      1.46e-02    4.97e-02      1.54e-01    1.30e-01    2.1e-04
  19200      7.41e+00    3.69e+00      9.36e-02    3.55e-03      1.65e-01    1.17e-01    2.1e-04
  19300      5.67e+00    5.00e+00      8.59e-02    2.52e-02      9.38e-02    1.52e-01    2.1e-04
  19400      3.38e+00    9.59e+00      3.22e-02    1.46e-01      9.03e-02    1.57e-01    2.1e-04
  19500      6.06e+00    4.53e+00      9.19e-02    4.18e-02      9.99e-02    1.22e-01    2.1e-04
  19600      1.01e+01    4.51e+00      1.50e-01    4.12e-02      1.76e-01    1.22e-01    2.1e-04
  19700      1.20e+01    1.15e+01      2.07e-01    1.97e-01      8.80e-02    9.67e-02    2.1e-04
  19800      1.15e+01    1.37e+01      1.93e-01    2.37e-01      1.16e-01    1.02e-01    2.1e-04
  19900      3.25e+00    3.13e+00      1.15e-02    2.60e-02      1.01e-01    8.77e-02    2.1e-04
