#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  26000      5.50e+00    5.31e+00      1.34e-02    5.09e-02      1.72e-01    1.37e-01    7.7e-05
  26100      8.98e+00    4.56e+00      1.41e-01    1.40e-02      8.59e-02    1.42e-01    7.7e-05
  26200      7.62e+00    5.42e+00      1.15e-01    6.84e-02      9.76e-02    1.10e-01    7.7e-05
  26300      3.55e+00    5.21e+00      1.89e-02    5.13e-02      1.06e-01    1.32e-01    7.7e-05
  26400      4.18e+00    5.38e+00      1.16e-02    4.06e-02      1.30e-01    1.51e-01    7.7e-05
  26500      5.64e+00    6.07e+00      5.86e-02    8.99e-02      1.38e-01    8.32e-02    7.7e-05
  26600      6.01e+00    3.46e+00      7.62e-02    3.59e-02      1.21e-01    8.48e-02    7.7e-05
  26700      4.45e+00    4.36e+00      3.78e-02    1.34e-02      1.20e-01    1.36e-01    7.7e-05
  26800      3.54e+00    3.69e+00      9.77e-03    3.31e-02      1.10e-01    9.79e-02    7.7e-05
  26900      8.73e+00    5.29e+00      1.34e-01    2.02e-02      1.00e-01    1.63e-01    7.7e-05
  27000      4.92e+00    7.61e+00      6.36e-02    1.14e-01      9.61e-02    9.76e-02    7.7e-05
  27100      9.38e+00    3.18e+00      1.38e-01    2.32e-02      1.30e-01    9.02e-02    7.7e-05
  27200      4.43e+00    3.73e+00      5.57e-02    1.09e-02      9.03e-02    1.16e-01    7.7e-05
  27300      4.99e+00    7.90e+00      6.00e-02    1.21e-01      1.08e-01    9.34e-02    7.7e-05
  27400      4.09e+00    8.30e+00      2.27e-02    1.29e-01      1.22e-01    8.65e-02    7.7e-05
  27500      5.87e+00    4.51e+00      8.15e-02    5.16e-02      9.94e-02    1.03e-01    7.7e-05
  27600      9.73e+00    3.00e+00      1.43e-01    1.50e-02      1.38e-01    9.02e-02    7.7e-05
  27700      7.53e+00    5.47e+00      8.20e-02    6.92e-02      1.78e-01    1.11e-01    7.7e-05
  27800      1.01e+01    5.93e+00      1.41e-01    6.81e-02      1.65e-01    1.34e-01    7.7e-05
  27900      3.38e+00    3.70e+00      2.41e-02    3.83e-02      9.63e-02    9.08e-02    7.7e-05
  28000      1.38e+01    3.16e+00      2.10e-01    2.18e-02      1.63e-01    9.06e-02    7.7e-05
  28100      3.07e+00    4.81e+00      1.65e-02    5.66e-02      9.18e-02    1.06e-01    7.7e-05
  28200      2.01e+01    5.77e+00      3.14e-01    8.17e-02      1.97e-01    9.27e-02    7.7e-05
  28300      4.58e+00    3.25e+00      6.04e-02    2.18e-02      8.63e-02    9.39e-02    7.7e-05
  28400      5.37e+00    1.28e+01      4.37e-02    2.06e-01      1.47e-01    8.51e-02    7.7e-05
  28500      7.88e+00    4.37e+00      1.06e-01    3.29e-02      1.44e-01    1.23e-01    7.7e-05
  28600      6.65e+00    4.58e+00      5.60e-02    1.65e-02      1.81e-01    1.41e-01    7.7e-05
  28700      6.83e+00    1.28e+01      9.35e-02    2.05e-01      1.20e-01    8.26e-02    7.7e-05
  28800      7.76e+00    6.51e+00      1.06e-01    8.65e-02      1.36e-01    1.21e-01    7.7e-05
  28900      4.03e+00    9.94e+00      1.06e-02    1.58e-01      1.26e-01    8.05e-02    7.7e-05
  29000      7.18e+00    4.49e+00      1.07e-01    2.73e-02      9.67e-02    1.32e-01    7.7e-05
  29100      1.13e+01    5.16e+00      1.79e-01    4.10e-02      9.63e-02    1.43e-01    7.7e-05
  29200      9.86e+00    1.17e+01      1.40e-01    1.82e-01      1.56e-01    1.27e-01    7.7e-05
  29300      1.12e+01    4.05e+00      1.59e-01    2.73e-02      1.76e-01    1.17e-01    7.7e-05
  29400      1.28e+01    7.19e+00      2.04e-01    8.87e-02      9.94e-02    1.50e-01    7.7e-05
  29500      4.98e+00    5.97e+00      2.56e-02    4.73e-02      1.50e-01    1.65e-01    7.7e-05
  29600      3.71e+00    3.51e+00      3.96e-02    2.20e-02      8.91e-02    1.03e-01    7.7e-05
  29700      6.18e+00    6.24e+00      7.28e-02    9.18e-02      1.36e-01    8.83e-02    7.7e-05
  29800      6.93e+00    9.80e+00      9.60e-02    1.53e-01      1.18e-01    9.63e-02    7.7e-05
  29900      6.04e+00    9.00e+00      8.47e-02    1.20e-01      9.96e-02    1.66e-01    7.7e-05
  30000      6.10e+00    1.09e+01      9.06e-02    1.52e-01      7.60e-02    1.72e-01    4.6e-05
  30100      4.99e+00    7.12e+00      6.83e-02    9.74e-02      8.44e-02    1.20e-01    4.6e-05
  30200      5.10e+00    4.23e+00      6.57e-02    4.64e-02      9.76e-02    9.85e-02    4.6e-05
  30300      7.81e+00    9.09e+00      1.17e-01    1.41e-01      9.30e-02    8.33e-02    4.6e-05
  30400      3.59e+00    8.06e+00      5.81e-03    1.11e-01      1.13e-01    1.33e-01    4.6e-05
  30500      5.84e+00    4.55e+00      6.66e-02    5.78e-02      1.31e-01    8.91e-02    4.6e-05
  30600      3.41e+00    9.18e+00      1.15e-02    1.28e-01      1.05e-01    1.48e-01    4.6e-05
  30700      4.32e+00    6.86e+00      4.98e-02    8.35e-02      9.56e-02    1.43e-01    4.6e-05
  30800      5.17e+00    6.22e+00      7.25e-02    7.26e-02      8.17e-02    1.37e-01    4.6e-05
  30900      4.30e+00    5.51e+00      4.15e-02    6.55e-02      1.09e-01    1.18e-01    4.6e-05
  31000      7.09e+00    4.86e+00      1.07e-01    6.18e-02      7.80e-02    9.51e-02    4.6e-05
  31100      6.47e+00    8.29e+00      8.56e-02    1.23e-01      1.18e-01    1.03e-01    4.6e-05
  31200      9.41e+00    5.84e+00      1.21e-01    6.08e-02      1.81e-01    1.42e-01    4.6e-05
  31300      5.24e+00    3.28e+00      7.02e-02    1.83e-02      9.28e-02    9.74e-02    4.6e-05
  31400      1.07e+01    2.86e+00      1.55e-01    1.50e-03      1.51e-01    9.05e-02    4.6e-05
  31500      3.86e+00    6.02e+00      7.39e-03    8.24e-02      1.21e-01    1.01e-01    4.6e-05
  31600      7.19e+00    8.80e+00      9.47e-02    1.27e-01      1.32e-01    1.25e-01    4.6e-05
  31700      7.23e+00    5.09e+00      1.08e-01    4.73e-02      8.55e-02    1.32e-01    4.6e-05
  31800      3.30e+00    6.58e+00      3.62e-02    8.93e-02      7.69e-02    1.14e-01    4.6e-05
  31900      7.89e+00    3.60e+00      1.21e-01    5.01e-04      8.04e-02    1.14e-01    4.6e-05
  32000      1.26e+01    1.09e+01      1.86e-01    1.59e-01      1.61e-01    1.45e-01    4.6e-05
  32100      5.24e+00    8.30e+00      6.57e-02    1.25e-01      1.05e-01    9.60e-02    4.6e-05
  32200      7.31e+00    4.29e+00      9.13e-02    5.11e-02      1.47e-01    9.19e-02    4.6e-05
  32300      5.09e+00    3.64e+00      4.76e-02    1.14e-02      1.31e-01    1.13e-01    4.6e-05
  32400      6.20e+00    6.52e+00      7.58e-02    7.79e-02      1.28e-01    1.39e-01    4.6e-05
  32500      7.80e+00    3.99e+00      8.18e-02    5.94e-03      1.88e-01    1.26e-01    4.6e-05
  32600      6.41e+00    4.30e+00      9.06e-02    2.71e-02      9.86e-02    1.25e-01    4.6e-05
  32700      3.32e+00    5.81e+00      1.64e-02    6.47e-02      1.00e-01    1.33e-01    4.6e-05
  32800      4.52e+00    5.70e+00      4.35e-02    7.37e-02      1.15e-01    1.08e-01    4.6e-05
  32900      6.96e+00    6.80e+00      1.01e-01    9.72e-02      9.56e-02    1.01e-01    4.6e-05
  33000      5.06e+00    4.05e+00      2.46e-02    1.42e-04      1.53e-01    1.28e-01    4.6e-05
  33100      3.80e+00    6.17e+00      2.20e-02    8.37e-02      1.12e-01    1.06e-01    4.6e-05
  33200      6.16e+00    3.10e+00      7.37e-02    5.60e-03      1.31e-01    9.74e-02    4.6e-05
  33300      3.34e+00    7.13e+00      1.76e-02    9.41e-02      9.99e-02    1.31e-01    4.6e-05
  33400      4.39e+00    4.34e+00      2.54e-02    2.54e-02      1.30e-01    1.28e-01    4.6e-05
  33500      8.63e+00    6.69e+00      1.34e-01    7.62e-02      7.66e-02    1.50e-01    4.6e-05
  33600      4.58e+00    3.89e+00      6.24e-02    3.20e-02      7.82e-02    1.06e-01    4.6e-05
  33700      5.14e+00    7.31e+00      5.40e-02    1.07e-01      1.24e-01    9.98e-02    4.6e-05
  33800      3.92e+00    3.61e+00      3.04e-02    1.93e-02      1.09e-01    1.08e-01    4.6e-05
  33900      3.55e+00    7.38e+00      2.51e-03    9.21e-02      1.12e-01    1.49e-01    4.6e-05
  34000      8.65e+00    8.46e+00      1.34e-01    1.31e-01      7.67e-02    7.70e-02    4.6e-05
  34100      3.62e+00    8.02e+00      2.55e-02    1.01e-01      1.03e-01    1.58e-01    4.6e-05
  34200      7.08e+00    5.20e+00      8.38e-02    2.78e-02      1.53e-01    1.55e-01    4.6e-05
  34300      8.79e+00    3.50e+00      1.22e-01    8.42e-03      1.43e-01    1.09e-01    4.6e-05
  34400      4.98e+00    3.83e+00      6.19e-02    1.85e-02      1.01e-01    1.16e-01    4.6e-05
  34500      5.15e+00    6.12e+00      6.73e-02    6.66e-02      9.61e-02    1.43e-01    4.6e-05
  34600      4.23e+00    7.29e+00      2.75e-02    1.09e-01      1.22e-01    8.74e-02    4.6e-05
  34700      7.01e+00    5.77e+00      1.05e-01    5.79e-02      8.52e-02    1.43e-01    4.6e-05
  34800      7.53e+00    4.16e+00      8.93e-02    1.55e-02      1.62e-01    1.28e-01    4.6e-05
  34900      8.07e+00    3.01e+00      1.10e-01    1.52e-02      1.39e-01    9.05e-02    4.6e-05
  35000      8.03e+00    4.28e+00      1.01e-01    4.43e-02      1.58e-01    1.04e-01    2.8e-05
  35100      5.26e+00    6.73e+00      6.99e-02    7.73e-02      9.30e-02    1.49e-01    2.8e-05
  35200      1.00e+01    2.86e+00      1.48e-01    4.89e-03      1.26e-01    8.98e-02    2.8e-05
  35300      4.98e+00    7.45e+00      6.56e-02    1.13e-01      9.01e-02    7.70e-02    2.8e-05
  35400      8.15e+00    7.41e+00      1.06e-01    9.40e-02      1.51e-01    1.43e-01    2.8e-05
  35500      3.90e+00    8.86e+00      2.44e-02    1.36e-01      1.14e-01    8.13e-02    2.8e-05
  35600      3.81e+00    4.43e+00      1.37e-02    3.26e-02      1.17e-01    1.24e-01    2.8e-05
  35700      3.62e+00    3.35e+00      2.01e-02    4.70e-03      1.07e-01    1.06e-01    2.8e-05
  35800      3.54e+00    8.11e+00      3.86e-03    9.93e-02      1.12e-01    1.66e-01    2.8e-05
  35900      7.88e+00    8.53e+00      1.20e-01    1.30e-01      8.11e-02    8.04e-02    2.8e-05
  36000      3.73e+00    1.05e+01      3.16e-02    1.47e-01      1.00e-01    1.59e-01    2.8e-05
  36100      3.30e+00    5.07e+00      8.73e-03    7.01e-02      1.03e-01    8.10e-02    2.8e-05
  36200      3.20e+00    3.36e+00      5.53e-04    9.74e-03      1.01e-01    1.05e-01    2.8e-05
  36300      5.73e+00    9.89e+00      4.68e-02    1.53e-01      1.56e-01    8.52e-02    2.8e-05
  36400      4.20e+00    5.30e+00      4.78e-02    4.81e-02      9.37e-02    1.38e-01    2.8e-05
  36500      1.03e+01    7.74e+00      1.61e-01    1.13e-01      8.23e-02    1.03e-01    2.8e-05
  36600      5.76e+00    4.73e+00      7.49e-02    1.82e-02      1.06e-01    1.45e-01    2.8e-05
  36700      6.06e+00    5.14e+00      8.90e-02    7.07e-02      7.69e-02    8.34e-02    2.8e-05
  36800      6.74e+00    4.94e+00      7.80e-02    4.36e-02      1.48e-01    1.30e-01    2.8e-05
  36900      5.87e+00    5.11e+00      8.61e-02    6.93e-02      7.50e-02    8.59e-02    2.8e-05
  37000      7.93e+00    4.72e+00      1.16e-01    1.84e-05      1.02e-01    1.49e-01    2.8e-05
  37100      6.28e+00    6.18e+00      9.02e-02    7.00e-02      8.83e-02    1.38e-01    2.8e-05
  37200      3.52e+00    3.63e+00      3.29e-03    6.83e-03      1.11e-01    1.14e-01    2.8e-05
  37300      3.24e+00    3.25e+00      1.11e-02    2.34e-02      1.00e-01    9.20e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37600      7.34e+00    6.76e+00      1.11e-01    9.99e-02      7.79e-02    8.29e-02    2.8e-05
  37600      7.34e+00    6.76e+00      1.11e-01    9.99e-02      7.79e-02    8.29e-02    2.8e-05
  37600      7.34e+00    6.76e+00      1.11e-01    9.99e-02      7.79e-02    8.29e-02    2.8e-05
#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  37000      1.05e+01    9.00e+00      1.63e-01    1.37e-01      8.06e-02    8.81e-02    2.8e-05
  37100      3.80e+00    8.12e+00      1.75e-02    1.07e-01      1.15e-01    1.45e-01    2.8e-05
  37200      6.80e+00    8.25e+00      9.40e-02    1.23e-01      1.09e-01    9.80e-02    2.8e-05
  37300      3.80e+00    5.26e+00      1.56e-02    7.00e-02      1.16e-01    9.25e-02    2.8e-05
  37400      6.23e+00    4.72e+00      4.91e-02    4.88e-02      1.72e-01    1.14e-01    2.8e-05
  37500      4.43e+00    7.60e+00      3.83e-02    1.16e-01      1.18e-01    7.55e-02    2.8e-05
  37600      7.34e+00    6.76e+00      1.11e-01    9.99e-02      7.79e-02    8.29e-02    2.8e-05
  37700      4.28e+00    3.81e+00      2.24e-02    2.31e-03      1.28e-01    1.20e-01    2.8e-05
  37800      5.64e+00    7.91e+00      7.87e-02    1.20e-01      8.80e-02    7.83e-02    2.8e-05
  37900      4.12e+00    4.22e+00      2.95e-02    4.19e-02      1.17e-01    1.05e-01    2.8e-05
  38000      4.24e+00    5.18e+00      3.71e-03    4.02e-02      1.34e-01    1.43e-01    2.8e-05
  38100      3.79e+00    3.49e+00      1.41e-02    2.00e-02      1.16e-01    1.03e-01    2.8e-05
  38200      5.86e+00    3.62e+00      8.29e-02    3.17e-02      8.70e-02    9.60e-02    2.8e-05
  38300      4.06e+00    4.99e+00      1.85e-02    3.17e-02      1.23e-01    1.45e-01    2.8e-05
  38400      5.97e+00    9.54e+00      4.34e-02    1.46e-01      1.68e-01    8.92e-02    2.8e-05
  38500      4.82e+00    6.19e+00      6.48e-02    8.96e-02      8.27e-02    8.38e-02    2.8e-05
  38600      6.42e+00    9.86e+00      6.11e-02    1.52e-01      1.64e-01    8.59e-02    2.8e-05
  38700      3.24e+00    5.72e+00      7.65e-03    6.58e-02      1.01e-01    1.26e-01    2.8e-05
  38800      6.51e+00    3.53e+00      9.47e-02    1.29e-02      8.64e-02    1.09e-01    2.8e-05
  38900      3.19e+00    3.81e+00      1.35e-02    4.10e-02      9.72e-02    8.92e-02    2.8e-05
  39000      4.20e+00    4.55e+00      3.88e-02    4.20e-02      1.09e-01    1.18e-01    2.8e-05
  39100      3.67e+00    7.96e+00      7.22e-03    1.20e-01      1.15e-01    8.34e-02    2.8e-05
  39200      4.97e+00    8.53e+00      6.38e-02    1.13e-01      9.41e-02    1.52e-01    2.8e-05
  39300      8.19e+00    4.75e+00      1.01e-01    4.03e-02      1.65e-01    1.28e-01    2.8e-05
  39400      5.12e+00    5.33e+00      5.68e-02    7.54e-02      1.17e-01    7.90e-02    2.8e-05
  39500      3.51e+00    5.56e+00      2.51e-02    6.90e-02      9.95e-02    1.11e-01    2.8e-05
  39600      3.95e+00    6.24e+00      2.67e-02    6.54e-02      1.13e-01    1.49e-01    2.8e-05
  39700      4.05e+00    3.81e+00      9.42e-03    1.03e-02      1.27e-01    1.19e-01    2.8e-05
  39800      3.78e+00    4.04e+00      8.37e-03    2.45e-02      1.18e-01    1.18e-01    2.8e-05
  39900      6.42e+00    7.88e+00      6.88e-02    1.19e-01      1.51e-01    8.43e-02    2.8e-05
  40000      9.21e+00    4.02e+00      1.41e-01    2.62e-02      8.30e-02    1.16e-01    1.7e-05
  40100      8.60e+00    5.66e+00      1.19e-01    6.88e-02      1.37e-01    1.16e-01    1.7e-05
  40200      5.01e+00    5.17e+00      4.57e-02    4.58e-02      1.30e-01    1.36e-01    1.7e-05
  40300      7.16e+00    4.85e+00      9.46e-02    5.06e-02      1.27e-01    1.16e-01    1.7e-05
  40400      3.39e+00    3.55e+00      9.63e-03    2.54e-02      1.06e-01    1.00e-01    1.7e-05
  40500      6.36e+00    7.52e+00      9.20e-02    9.48e-02      8.45e-02    1.45e-01    1.7e-05
  40600      8.18e+00    3.18e+00      1.09e-01    1.35e-02      1.41e-01    9.69e-02    1.7e-05
  40700      3.84e+00    8.14e+00      1.70e-02    1.24e-01      1.16e-01    7.80e-02    1.7e-05
  40800      5.80e+00    4.44e+00      5.42e-02    1.83e-02      1.48e-01    1.36e-01    1.7e-05
  40900      4.02e+00    3.64e+00      3.99e-02    9.94e-03      9.95e-02    1.14e-01    1.7e-05
  41000      8.59e+00    3.96e+00      1.31e-01    9.97e-03      7.68e-02    1.24e-01    1.7e-05
  41100      8.89e+00    8.52e+00      1.37e-01    1.08e-01      7.49e-02    1.63e-01    1.7e-05
  41200      6.66e+00    6.21e+00      9.62e-02    6.04e-02      8.91e-02    1.55e-01    1.7e-05
  41300      8.68e+00    3.72e+00      1.32e-01    1.29e-02      8.53e-02    1.15e-01    1.7e-05
  41400      6.87e+00    9.89e+00      9.80e-02    1.52e-01      9.68e-02    7.97e-02    1.7e-05
  41500      8.09e+00    7.44e+00      1.05e-01    9.54e-02      1.49e-01    1.40e-01    1.7e-05
  41600      1.08e+01    1.04e+01      1.50e-01    1.43e-01      1.70e-01    1.64e-01    1.7e-05
  41700      8.11e+00    6.00e+00      1.17e-01    7.49e-02      1.11e-01    1.18e-01    1.7e-05
  41800      6.23e+00    6.71e+00      8.87e-02    8.15e-02      8.88e-02    1.37e-01    1.7e-05
  41900      5.45e+00    9.68e+00      5.73e-02    1.35e-01      1.29e-01    1.48e-01    1.7e-05
  42000      6.36e+00    5.47e+00      9.18e-02    7.33e-02      8.52e-02    9.36e-02    1.7e-05
  42100      6.48e+00    4.21e+00      9.55e-02    4.97e-02      7.82e-02    8.95e-02    1.7e-05
  42200      8.57e+00    6.50e+00      1.30e-01    7.44e-02      8.26e-02    1.43e-01    1.7e-05
  42300      3.05e+00    6.95e+00      1.61e-02    9.33e-02      9.09e-02    1.18e-01    1.7e-05
  42400      9.16e+00    9.14e+00      1.41e-01    1.40e-01      7.72e-02    7.75e-02    1.7e-05
  42500      6.55e+00    8.36e+00      6.78e-02    1.03e-01      1.58e-01    1.69e-01    1.7e-05
  42600      7.41e+00    6.58e+00      9.33e-02    9.58e-02      1.44e-01    8.52e-02    1.7e-05
  42700      7.27e+00    8.97e+00      1.08e-01    1.18e-01      8.32e-02    1.60e-01    1.7e-05
  42800      6.15e+00    8.55e+00      8.79e-02    1.09e-01      8.63e-02    1.62e-01    1.7e-05
  42900      3.59e+00    8.62e+00      1.25e-02    1.15e-01      1.11e-01    1.50e-01    1.7e-05
  43000      7.54e+00    3.79e+00      1.13e-01    7.22e-03      8.31e-02    1.19e-01    1.7e-05
  43100      4.70e+00    4.88e+00      5.77e-02    4.44e-02      9.48e-02    1.27e-01    1.7e-05
  43200      4.28e+00    3.92e+00      2.24e-02    7.67e-03      1.28e-01    1.23e-01    1.7e-05
  43300      4.72e+00    5.03e+00      5.89e-02    4.77e-02      9.26e-02    1.28e-01    1.7e-05
  43400      3.86e+00    7.29e+00      2.33e-02    1.10e-01      1.13e-01    7.48e-02    1.7e-05
  43500      5.15e+00    4.54e+00      5.53e-02    5.44e-03      1.20e-01    1.43e-01    1.7e-05
  43600      8.53e+00    7.14e+00      1.11e-01    1.07e-01      1.54e-01    7.56e-02    1.7e-05
  43700      7.91e+00    4.75e+00      1.19e-01    4.22e-02      8.56e-02    1.25e-01    1.7e-05
  43800      6.91e+00    6.81e+00      7.16e-02    7.82e-02      1.66e-01    1.49e-01    1.7e-05
  43900      4.99e+00    3.40e+00      5.77e-02    2.16e-02      1.09e-01    9.85e-02    1.7e-05
  44000      4.04e+00    6.26e+00      1.09e-02    6.53e-02      1.26e-01    1.50e-01    1.7e-05
  44100      5.38e+00    5.44e+00      6.99e-02    7.29e-02      9.87e-02    9.33e-02    1.7e-05
  44200      8.15e+00    5.80e+00      1.07e-01    7.89e-02      1.46e-01    9.57e-02    1.7e-05
  44300      4.86e+00    7.34e+00      5.32e-02    1.11e-01      1.12e-01    7.54e-02    1.7e-05
  44400      7.60e+00    4.53e+00      9.53e-02    4.08e-02      1.49e-01    1.18e-01    1.7e-05
  44500      4.79e+00    5.09e+00      6.31e-02    6.84e-02      8.52e-02    8.65e-02    1.7e-05
  44600      8.78e+00    4.82e+00      1.17e-01    5.99e-02      1.52e-01    9.52e-02    1.7e-05
  44700      7.14e+00    6.24e+00      8.60e-02    6.85e-02      1.48e-01    1.43e-01    1.7e-05
  44800      5.78e+00    5.22e+00      8.37e-02    7.12e-02      7.64e-02    8.52e-02    1.7e-05
  44900      6.76e+00    8.00e+00      7.27e-02    9.62e-02      1.58e-01    1.66e-01    1.7e-05
  45000      6.93e+00    3.86e+00      8.32e-02    3.69e-02      1.44e-01    9.75e-02    9.9e-06
  45100      4.15e+00    4.78e+00      3.78e-02    2.82e-02      1.08e-01    1.40e-01    9.9e-06
  45200      4.18e+00    4.48e+00      1.12e-02    4.51e-02      1.30e-01    1.09e-01    9.9e-06
  45300      6.27e+00    3.55e+00      9.04e-02    1.61e-02      8.31e-02    1.08e-01    9.9e-06
  45400      5.41e+00    4.23e+00      7.19e-02    2.09e-02      9.36e-02    1.27e-01    9.9e-06
  45500      9.53e+00    3.16e+00      1.33e-01    7.07e-04      1.44e-01    9.98e-02    9.9e-06
  45600      7.44e+00    5.49e+00      8.91e-02    5.69e-02      1.55e-01    1.32e-01    9.9e-06
  45700      6.56e+00    4.15e+00      7.84e-02    4.79e-02      1.37e-01    9.01e-02    9.9e-06
  45800      4.26e+00    5.25e+00      1.83e-02    6.50e-02      1.30e-01    1.04e-01    9.9e-06
  45900      1.02e+01    4.51e+00      1.39e-01    5.49e-02      1.65e-01    9.17e-02    9.9e-06
  46000      3.57e+00    3.51e+00      1.41e-02    1.06e-03      1.10e-01    1.11e-01    9.9e-06
  46100      3.80e+00    7.30e+00      3.71e-02    1.10e-01      9.46e-02    7.47e-02    9.9e-06
  46200      6.75e+00    8.71e+00      9.98e-02    1.17e-01      7.87e-02    1.47e-01    9.9e-06
  46300      4.75e+00    4.22e+00      3.26e-02    4.44e-02      1.36e-01    1.00e-01    9.9e-06
  46400      3.55e+00    5.86e+00      2.60e-02    6.60e-02      9.98e-02    1.31e-01    9.9e-06
  46500      3.94e+00    7.36e+00      3.39e-02    9.02e-02      1.05e-01    1.48e-01    9.9e-06
  46600      4.71e+00    3.61e+00      6.35e-02    1.58e-02      7.87e-02    1.10e-01    9.9e-06
  46700      5.43e+00    3.96e+00      7.48e-02    2.19e-02      8.56e-02    1.17e-01    9.9e-06
  46800      3.48e+00    8.59e+00      1.37e-02    1.15e-01      1.07e-01    1.47e-01    9.9e-06
  46900      3.27e+00    3.83e+00      1.08e-02    2.22e-02      1.01e-01    1.13e-01    9.9e-06
  47000      4.54e+00    8.69e+00      4.30e-02    1.16e-01      1.15e-01    1.49e-01    9.9e-06
  47100      8.08e+00    3.72e+00      1.22e-01    1.50e-02      7.62e-02    1.14e-01    9.9e-06
  47200      6.30e+00    3.61e+00      8.77e-02    8.71e-03      9.63e-02    1.13e-01    9.9e-06
